words,sentiment_coeff
me,-64.22823463836527
hope,-59.879546439299475
technology_new,-46.352422085925355
of_optometry,-81.98238323566473
seminary_new,-50.49501658249937
guru_purnima,-73.22947186201519
pm,-50.03673849630596
be,-48.05270213896141
om_shreem,-67.41320857358335
valley_community,-72.55942386138413
palestine,-72.75287004538913
china_coal,-59.55411822194392
health_higgs,-89.98714841569009
morrilton,-83.57069898766899
table,-54.88274488339744
singapore_community,-46.54971196343901
tamil_siddhas,-67.02860362979128
go,-57.56677127331619
bds,-17.544828153943666
cleaning,-78.0240012364777
beidou,-38.225671233515996
16830_products,-60.4643817388097
an_der,-90.34321636981807
canada,-52.03302174348068
stuttgart,-48.75710236828313
this_event,-30.403188086814794
vcal_download,-31.999784725849644
back,-36.57726043314446
o,-28.14213866458989
keep,-33.71365702707403
fall,-71.85199720006209
wealth_and,-47.25042715364277
days,-94.80780493504355
duck_prosciutto,-19.603522149169436
europe,-75.82884544027912
manufacturers_select,-72.14991898009039
new_orleans,-56.34607970849733
garlic,-74.3426135830371
pennsylvania,-60.9309093681854
seattle,-66.41397228303416
namibia_nepal,-64.04222486328722
small_heath,-75.94068347121244
west_midlands,-72.57495790528924
colorado_springs,-51.019718309866334
italian,-55.59465771217472
charcuterie_antipasto,-47.154999015184856
northeast,-73.71658664201186
tips,-52.57849545950495
atlantic,-71.0728772148459
deer,-86.99424969730016
prescott,-63.476104405937136
capital,-79.89020161652263
fisher,-79.62078846431065
baked,-50.63820970659067
astro_slide,-81.15081257640294
southwestern,-69.60719173454258
tony_hadley,-60.06630370815953
live,-50.74173312746044
roger_penske,-35.39322305152335
to_be,-32.239293152758684
automation,-78.8266650260111
why,-52.75197440820352
control,-45.25069793399902
suicidal_after,-54.440850591011504
end,-58.14038083093912
to_use,-76.27646673237605
says,-28.47953944346064
bar,-85.51611475031991
s_steve,-55.75995401315457
norman_says,-58.53085450635674
it_caused,-56.22333756740547
great_sadness,-57.0599975427554
to_hear,-71.51953494788538
that_bandmate,-53.6262406923108
ross_william,-67.99686060471473
wild_was,-51.675492530171894
his_acrimonious,-63.97466505486099
melon,-48.24837957058937
exit,-50.81980618555794
have,-60.41344854015683
heart,-62.05762160536246
crostini,-33.101997846987175
year,-43.881174818389574
forum,-77.07933933306553
kit,-85.8336043448382
local,-67.85392141279674
income,-86.33322515886756
books,-80.15304683360775
link,-77.95013595018786
magazine,-72.6937806212616
gas_furnace,-58.7794477607718
ulm,-58.4385413887093
workshop_siddha,-74.16610996789738
gas_burning,-60.49502941111955
soap,-78.9793748447181
true,-44.34702484364319
learn_about,-26.513749764431516
blue,-56.16604007437087
sky,-85.42538547126905
site,-84.7592351476126
sir,-87.27676983105826
sims,-45.544817459677425
smart_music,-24.442473977679096
sidney,-86.60069251131449
silent,-67.69944589221525
american,-59.25701370690205
collegiate_conference,-50.878075254252664
them,-56.39847984109088
mozzarella,-43.38452287967187
something,-59.65426588020535
bono,-96.74742064265078
association,-84.436531321245
ceramic_industry,-68.96621064414717
old_dominion,-51.86483258216028
rover,-65.18098763312415
furnace_for,-76.14564172422749
best,-83.54497377313528
factory_service,-72.02894668961227
repair_service,-58.848693829866114
heat_wood/sawdust/coconut,-59.54351673745109
ward,-98.89004845931919
shell/charcoal_briquette,-54.296043764027
calendar,-64.25164685581593
making_machine,-50.52960603452178
carbonization_furnace,-47.0564760396731
2019,-59.82845197684271
sorry,-67.37193664861044
soul,-52.307622303158986
turkey,-79.98911863603574
cream,-44.31763142450079
space,-104.18487490062338
galileo,-47.686881236023915
high,-72.67556561782901
travel,-75.41870004288589
tony,-54.9840187737671
usa,-74.57485297402903
while,-46.75879349827851
or_walker,-5.343230641962543
thomas,-76.16312339080133
2012,-41.47925477598121
houston,-91.74487608782216
have_been,-51.10372480444336
